starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol,lane_r_1_vol
"2017-07-10 22:40:00-07",3.27,64.75,32,3.13,67.73,44,0.47,71.2,20,
"2017-07-10 22:45:00-07",2,61.55,11,3.25,67.46,26,2,69.81,21,
"2017-07-10 22:50:00-07",3.53,51.36,33,4,66.04,53,1.47,69.7,33,
"2017-07-10 22:55:00-07",2.79,63.36,28,2.21,70.44,32,0.64,70.74,19,
"2017-07-10 23:00:00-07",3.6,60.25,20,3.4,69.03,30,0.7,72.13,15,
"2017-07-10 23:05:00-07",4.64,65.6,30,2.36,70.24,33,1.07,71.3,23,
"2017-07-10 23:10:00-07",4.7,61.93,14,2.9,68.76,29,0.9,70.07,14,
"2017-07-10 23:15:00-07",2.5,64.67,18,2.57,66.31,36,0.86,69.68,22,
"2017-07-10 23:20:00-07",0.87,60.89,9,2.53,66.54,24,0.67,73.06,18,
"2017-07-10 23:25:00-07",2.93,55.85,20,1.21,66.62,21,0.86,71.45,22,
"2017-07-10 23:30:00-07",5.13,62.71,28,1.47,69.64,22,0.27,69.82,11,
"2017-07-10 23:35:00-07",1.5,64.36,14,2.71,69.63,27,0.14,73,8,
"2017-07-10 23:40:00-07",3.4,61.35,20,0.13,70.4,10,0,47.67,6,
"2017-07-10 23:45:00-07",0.5,61,4,0.38,68.33,6,0,,0,
"2017-07-10 23:50:00-07",1.07,50.83,12,2.27,67.6,30,0.13,73.09,11,
"2017-07-10 23:55:00-07",1.29,63.64,11,1.5,67.06,17,0.07,70.4,10,
"2017-07-11 00:00:00-07",0.82,59.75,8,2.18,68.5,16,0,67.2,5,
"2017-07-11 00:05:00-07",1.82,60,8,0.73,64.5,8,0.18,68,6,
"2017-07-11 00:10:00-07",1.82,61,6,1.09,68.18,17,0,69,3,
