starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol
"2017-08-20 14:15:00-07",10.91,57.83,112,9.64,60.7,91,9.36,55.12,84
"2017-08-20 14:20:00-07",8.79,59.63,124,8.64,60.75,92,11.43,54.07,118
"2017-08-20 14:25:00-07",9.36,64.61,106,8.55,63.65,80,9.55,58.96,92
"2017-08-20 14:30:00-07",9.79,62.41,140,9.29,64.31,123,11.07,58.78,122
"2017-08-20 14:35:00-07",9.64,59.55,110,10.64,59.51,81,9.82,58.1,99
"2017-08-20 14:40:00-07",8.64,63.65,130,10.79,62.63,110,8.5,59.39,101
"2017-08-20 14:45:00-07",9.27,61.36,103,9.09,62,92,9.45,56.35,82
"2017-08-20 14:50:00-07",8.93,61.78,129,10,62.17,103,8.93,57.99,105
"2017-08-20 14:55:00-07",14,52.67,130,13,53.71,102,10.64,51.9,90
"2017-08-20 15:00:00-07",10.21,59.94,142,9.07,61.15,107,10.29,57.61,109
"2017-08-20 15:05:00-07",9.64,59.21,112,13.09,60.79,101,8.27,57.45,83
"2017-08-20 15:10:00-07",8.64,63.01,130,9.64,62.72,118,8.93,60.13,98
"2017-08-20 15:15:00-07",9.45,60.87,106,9.91,60.44,100,12.45,55.22,101
"2017-08-20 15:20:00-07",10.07,61.54,149,9.21,62.72,123,10.21,56.5,109
"2017-08-20 15:25:00-07",9.82,60.96,111,11.27,62.38,104,10.36,56.92,93
"2017-08-20 15:30:00-07",9.43,62.37,138,9.21,64.02,115,6.64,61.88,85
"2017-08-20 15:35:00-07",7.73,62.13,93,9.91,62.25,91,8.64,59.51,91
"2017-08-20 15:40:00-07",9.07,62.23,128,8.79,63.33,114,7.21,60.57,97
"2017-08-20 15:45:00-07",10.55,61.8,122,8.45,64.52,84,11.64,58.65,101
"2017-08-20 15:50:00-07",10.86,61.54,153,9.43,62.37,117,10.64,58.81,114
"2017-08-20 15:55:00-07",9.55,61.91,103,12,61.44,100,11.09,57.98,98
"2017-08-20 16:00:00-07",9.79,61.48,134,10.14,60.51,115,10.14,55.58,117
"2017-08-20 16:05:00-07",10.55,61.35,118,9.73,60.42,86,9,59.04,81
"2017-08-20 16:10:00-07",8.14,63.1,124,9,63.65,124,10.5,58.58,122
"2017-08-20 16:15:00-07",9.82,66.11,117,9.36,66.34,96,8.55,58.89,84
"2017-08-20 16:20:00-07",10.29,63.23,149,9.14,64.02,120,9.43,58.9,97
"2017-08-20 16:25:00-07",8.64,66.3,111,8.36,65.27,96,7.18,62.46,70
"2017-08-20 16:30:00-07",9.14,66.12,145,9.43,65.74,111,5.93,65.16,83
"2017-08-20 16:35:00-07",10.18,63.74,122,9.36,64.86,103,5.91,62.02,59
"2017-08-20 16:40:00-07",8.5,66.97,130,9.21,66.27,124,10.29,60.94,114
"2017-08-20 16:45:00-07",8.73,67.55,100,8.09,66.41,82,8.82,62.02,93
"2017-08-20 16:50:00-07",7.5,67.67,123,8.57,68.05,117,6.21,63.71,83
"2017-08-20 16:55:00-07",7.73,67.35,92,8.27,64.92,78,5.73,63.32,63
"2017-08-20 17:00:00-07",5.64,69.78,93,6.93,69.45,108,4.21,65.21,63
"2017-08-20 17:05:00-07",7.73,66.87,97,8.73,68.22,88,8.64,60.53,75
"2017-08-20 17:10:00-07",8.57,68.49,144,9.5,68.25,125,7.29,59.98,86
"2017-08-20 17:15:00-07",3.91,69.18,55,6.64,67.85,80,3.64,64,50
"2017-08-20 17:20:00-07",8.14,67.31,134,8,66.84,108,7,62.26,84
"2017-08-20 17:25:00-07",6.82,70.09,89,6.64,69.67,78,5.36,65.19,57
"2017-08-20 17:30:00-07",8.64,69.74,137,7.36,67.96,98,5.86,63.05,82
"2017-08-20 17:35:00-07",8.09,68.46,105,8,68.04,77,9,64.16,91
"2017-08-20 17:40:00-07",6.14,68.32,101,7.79,67.44,103,6.93,65.88,85
"2017-08-20 17:45:00-07",6.18,68.7,71,6.18,67.56,70,6.64,63.06,64
"2017-08-20 17:50:00-07",6.57,68.35,104,8.36,68.32,109,5.93,64.99,80
"2017-08-20 17:55:00-07",8.64,66.34,102,8.09,66.69,88,8.36,60.92,59
"2017-08-20 18:00:00-07",6.36,68.81,106,7.5,67.85,96,7.5,59.53,94
"2017-08-20 18:05:00-07",5.27,70.17,72,7.55,68.95,82,7.45,64.72,68
"2017-08-20 18:10:00-07",8.5,68.85,75,8.13,69.27,71,5.88,65.02,43
"2017-08-20 18:15:00-07",8.18,68.22,104,7.27,68.33,89,7.91,59.35,77
"2017-08-20 18:20:00-07",5.79,70.78,101,7.64,70.19,100,4.36,65.47,68
"2017-08-20 18:25:00-07",6.55,67.51,82,7.91,68.94,83,7.82,63.55,67
"2017-08-20 18:30:00-07",7,69.39,116,7.64,69.41,112,5.07,62.19,68
"2017-08-20 18:35:00-07",8.09,68.23,101,8.64,68.32,85,4.91,64.04,53
"2017-08-20 18:40:00-07",5.14,71.18,94,8.29,70.83,104,5.5,64.35,62
"2017-08-20 18:45:00-07",7.36,65.26,89,7.91,66.62,90,7.36,60.61,66
"2017-08-20 18:50:00-07",7.07,66.56,123,8.21,67.86,106,5.07,62.53,58
"2017-08-20 18:55:00-07",5.36,69.31,75,6.64,69.33,76,4.82,65.25,56
"2017-08-20 19:00:00-07",7.93,66.81,125,7.07,66.59,101,9.07,62.32,87
"2017-08-20 19:05:00-07",6,67.67,82,6.27,67.74,58,4.73,62.9,42
"2017-08-20 19:10:00-07",6.13,67.12,59,6.75,68.24,58,8,63.1,58
"2017-08-20 19:15:00-07",5.64,68.66,79,8.55,68.35,80,4.82,63.02,49
"2017-08-20 19:20:00-07",5.29,68.44,88,7.36,68.42,92,4.5,66.18,66
"2017-08-20 19:25:00-07",4.64,68.66,67,4.55,69.09,53,4.82,65.23,44
"2017-08-20 19:30:00-07",5.57,66.98,87,8.21,66.7,106,5.07,62.63,64
"2017-08-20 19:35:00-07",5.36,67.72,68,6.27,67.78,73,5.45,62.85,52
"2017-08-20 19:40:00-07",5.21,67.68,91,7,68.68,97,7,65.13,78
"2017-08-20 19:45:00-07",4.27,68.75,56,5.64,67.11,61,5.18,62.8,50
"2017-08-20 19:50:00-07",5,68.35,80,5.71,70.05,91,4,65.08,50
"2017-08-20 19:55:00-07",4.27,69.42,60,5.18,67.9,61,8.73,61.65,49
"2017-08-20 20:00:00-07",6.93,66.66,109,7.07,68.56,101,6.21,64.63,68
"2017-08-20 20:05:00-07",6.64,67.21,84,7.09,66.99,73,6.18,63.54,52
"2017-08-20 20:10:00-07",5.43,67.02,89,5.79,67.03,76,4.36,62.59,44
"2017-08-20 20:15:00-07",4.73,65.97,63,5.91,67.09,66,6.82,61.92,51
"2017-08-20 20:20:00-07",7.21,65.85,108,8.64,65.19,109,4.64,59.15,53
"2017-08-20 20:25:00-07",3.45,68.25,48,5,67.92,62,3.27,64,27
"2017-08-20 20:30:00-07",5.07,66.55,84,8,65.52,86,4.21,63.42,57
"2017-08-20 20:35:00-07",4.82,65.09,70,5.45,66.66,64,5.55,61.51,49
"2017-08-20 20:40:00-07",5.21,66.62,89,5.71,65.4,80,5.07,60.61,51
"2017-08-20 20:45:00-07",5.27,65.73,64,6.73,66.44,73,4.09,62.61,41
"2017-08-20 20:50:00-07",4.64,66.45,76,5.5,66.11,82,4.86,63.08,63
"2017-08-20 20:55:00-07",5.45,63.97,70,8.36,63.45,83,4.91,60.96,45
"2017-08-20 21:00:00-07",5.21,66.24,84,6.07,67.78,82,4.43,62.33,48
"2017-08-20 21:05:00-07",4,66.31,51,4,64.44,45,4.64,65.1,40
"2017-08-20 21:10:00-07",5.86,67.55,99,7,66.34,94,5.79,61.25,63
"2017-08-20 21:15:00-07",7,65.69,86,7.27,66.43,75,6.91,62.1,49
"2017-08-20 21:20:00-07",4.57,67.34,76,6.79,66.5,88,4.93,63.57,61
"2017-08-20 21:25:00-07",5.45,67.2,70,6,66.48,65,4.36,62.57,35
"2017-08-20 21:30:00-07",5.21,64.85,85,6.07,66.02,90,5.57,61.87,63
"2017-08-20 21:35:00-07",5.45,67.63,68,6.18,67.14,74,3.45,59.97,30
